,,,"EQY_FUND_CRNCY=USD,SCALING_FORMAT=BLN",,"SCALING_FORMAT=BLN,EQY_FUND_CRNCY=USD","SCALING_FORMAT=BLN,EQY_FUND_CRNCY=USD",,,,,,,BEST_FPERIOD_OVERRIDE=1GY,,,
LLY US Equity,USD,ELI LILLY & CO,4.6,0.4,  119 ,  (0),32.8,  4.95 ,  1.43 ,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology",21.0,55%,  3 ,  860 
AGN US Equity,USD,ALLERGAN PLC,5.9,3.6,  54 ,  24 ,38.0,  (13.84),  0.90 ,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology",25.0,14%,  3 ,  877 
CTRP US Equity,CNY,CTRIP.COM INTERNATIONAL-ADR,#N/A N/A,#N/A N/A,  14 ,  (0),88.9,  2.88 ,  0.38 ,Consumer Discretionary,Internet & Direct Marketing Re,Retailing,33.0,17%,  3 ,  196 
ASH US Equity,USD,ASHLAND GLOBAL HOLDINGS INC,0.1,4.1,  5 ,  2 ,34.8,  0.83 ,  1.40 ,Materials,Chemicals,Materials,11.0,44%,  3 ,  415 
ACM US Equity,USD,AECOM,0.8,3.1,  5 ,  3 ,38.4,  0.88 ,  1.93 ,Industrials,Construction & Engineering,Capital Goods,13.0,139%,  3 ,  681 
KRC US Equity,USD,KILROY REALTY CORP,-0.6,6.2,  7 ,  2 ,25.4,  3.08 ,  2.18 ,Real Estate,Equity Real Estate Investment,Real Estate,17.0,10%,  3 ,  364 
CY US Equity,USD,CYPRESS SEMICONDUCTOR CORP,0.4,1.4,  5 ,  1 ,49.2,  (1.12),  0.72 ,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,17.0,68%,  3 ,  549 
ROIC US Equity,USD,RETAIL OPPORTUNITY INVESTMEN,0.1,7.2,  2 ,  1 ,26.4,  (18.16),  4.14 ,Real Estate,Equity Real Estate Investment,Real Estate,13.0,10%,  4 ,  354 
EIX US Equity,USD,EDISON INTERNATIONAL,-1.1,4.1,  15 ,  13 ,68.8,  1.12 ,  1.21 ,Utilities,Electric Utilities,Utilities,19.0,24%,  4 ,  318 
REG US Equity,USD,REGENCY CENTERS CORP,0.1,5.2,  11 ,  4 ,20.3,  0.70 ,  (2.10),Real Estate,Equity Real Estate Investment,Real Estate,18.0,10%,  4 ,  367 
RGEN US Equity,USD,REPLIGEN CORP,0.0,-5.1,  3 ,  (0),59.5,  4.07 ,  4.57 ,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology",10.0,25%,  4 ,  793 
WELL US Equity,USD,WELLTOWER INC,-2.3,7.6,  26 ,  11 ,32.6,  (1.45),  7.38 ,Real Estate,Equity Real Estate Investment,Real Estate,23.0,16%,  4 ,  386 
JBL US Equity,USD,JABIL INC,-0.1,1.0,  4 ,  1 ,34.9,  0.60 ,  1.32 ,Information Technology,"Electronic Equipment, Instrume",Technology Hardware & Equipmen,11.0,191%,  4 ,  513 
MRCY US Equity,USD,MERCURY SYSTEMS INC,0.0,1.8,  2 ,  0 ,46.7,  1.67 ,  1.55 ,Industrials,Aerospace & Defense,Capital Goods,9.0,54%,  4 ,  650 
COO US Equity,USD,COOPER COS INC/THE,0.4,3.3,  13 ,  1 ,27.6,  4.25 ,  1.52 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,16.0,44%,  4 ,  827 
EPAY US Equity,USD,BOTTOMLINE TECHNOLOGIES (DE),0.1,0.4,  2 ,  0 ,75.8,  1.98 ,  1.18 ,Information Technology,Software,Software & Services,10.0,66%,  4 ,  509 
CCI US Equity,USD,CROWN CASTLE INTL CORP,0.8,5.7,  46 ,  16 ,22.9,  5.56 ,  2.50 ,Real Estate,Equity Real Estate Investment,Real Estate,20.0,16%,  4 ,  373 
RRC US Equity,USD,RANGE RESOURCES CORP,-0.2,5.1,  4 ,  4 ,50.2,  0.82 ,  0.15 ,Energy,"Oil, Gas & Consumable Fuels",Energy,30.0,25%,  4 ,"  1,095 "
PNM US Equity,USD,PNM RESOURCES INC,-0.1,5.1,  3 ,  3 ,22.7,  2.27 ,  7.05 ,Utilities,Electric Utilities,Utilities,11.0,21%,  4 ,  296 
BDX US Equity,USD,BECTON DICKINSON AND CO,1.8,6.8,  64 ,  5 ,26.4,  1.43 ,  1.55 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,21.0,32%,  4 ,  856 
VSH US Equity,USD,VISHAY INTERTECHNOLOGY INC,0.0,-0.8,  3 ,  (1),47.0,  1.22 ,#VALUE!,Information Technology,"Electronic Equipment, Instrume",Technology Hardware & Equipmen,6.0,88%,  4 ,  478 
MYL US Equity,USD,MYLAN NV,1.9,4.5,  18 ,  14 ,58.3,  0.66 ,  0.84 ,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology",18.0,33%,  4 ,  844 
WDC US Equity,USD,WESTERN DIGITAL CORP,2.8,1.2,  14 ,  6 ,78.6,  0.38 ,  0.23 ,Information Technology,"Technology Hardware, Storage &",Technology Hardware & Equipmen,30.0,69%,  4 ,  586 
VAC US Equity,USD,MARRIOTT VACATIONS WORLD,-1.3,13.7,  4 ,  (0),53.5,  0.27 ,  0.28 ,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,9.0,40%,  4 ,  95 
KT US Equity,KRW,KT CORP-SP ADR,1.6,0.5,  8 ,  4 ,24.6,  0.35 ,  0.11 ,Communication Services,Diversified Telecommunication,Telecommunication Services,3.0,76%,  4 ,  12 
OFC US Equity,USD,CORPORATE OFFICE PROPERTIES,-0.1,6.6,  3 ,  2 ,27.9,  2.71 ,  3.11 ,Real Estate,Equity Real Estate Investment,Real Estate,14.0,17%,  4 ,  358 
O US Equity,USD,REALTY INCOME CORP,-1.0,6.0,  18 ,  6 ,21.7,  6.58 ,  15.22 ,Real Estate,Equity Real Estate Investment,Real Estate,20.0,9%,  5 ,  375 
MAA US Equity,USD,MID-AMERICA APARTMENT COMM,0.4,5.1,  11 ,  4 ,23.0,  2.56 ,  2.67 ,Real Estate,Equity Real Estate Investment,Real Estate,18.0,14%,  5 ,  366 
JNPR US Equity,USD,JUNIPER NETWORKS INC,0.7,-1.6,  10 ,  (1),33.4,  1.48 ,  1.52 ,Information Technology,Communications Equipment,Technology Hardware & Equipmen,27.0,50%,  5 ,  573 
LOGM US Equity,USD,LOGMEIN INC,0.3,0.1,  4 ,  (0),48.7,  1.73 ,  1.66 ,Information Technology,Software,Software & Services,11.0,30%,  5 ,  524 
EQIX US Equity,USD,EQUINIX INC,-0.3,4.9,  31 ,  9 ,29.3,  2.05 ,  8.43 ,Real Estate,Equity Real Estate Investment,Real Estate,27.0,26%,  5 ,  393 
DRH US Equity,USD,DIAMONDROCK HOSPITALITY CO,0.0,3.3,  2 ,  1 ,26.3,  5.01 ,  (0.98),Real Estate,Equity Real Estate Investment,Real Estate,14.0,27%,  5 ,  359 
DEI US Equity,USD,DOUGLAS EMMETT INC,0.2,7.1,  6 ,  4 ,20.4,  4.91 ,  4.13 ,Real Estate,Equity Real Estate Investment,Real Estate,19.0,11%,  5 ,  372 
PKI US Equity,USD,PERKINELMER INC,0.2,3.6,  9 ,  2 ,40.0,  1.66 ,  1.51 ,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",16.0,50%,  5 ,  831 
UMC US Equity,TWD,UNITED MICROELECTRON-SP ADR,0.9,0.1,  4 ,  1 ,47.9,  3.48 ,  0.61 ,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,3.0,40%,  5 ,  466 
ETR US Equity,USD,ENTERGY CORP,-1.4,5.9,  16 ,  16 ,18.7,  (1.08),  (3.20),Utilities,Electric Utilities,Utilities,18.0,23%,  5 ,  312 
CTLT US Equity,USD,CATALENT INC,0.2,4.3,  6 ,  2 ,54.5,  1.75 ,  1.25 ,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology",14.0,60%,  5 ,  820 
SLG US Equity,USD,SL GREEN REALTY CORP,#N/A N/A,7.6,  8 ,  6 ,19.2,  (1.11),  8.31 ,Real Estate,Equity Real Estate Investment,Real Estate,21.0,9%,  5 ,  380 
CX US Equity,MXN,CEMEX SAB-SPONS ADR PART CER,1.0,4.4,  8 ,  11 ,51.2,  0.66 ,  0.32 ,Materials,Construction Materials,Materials,20.0,51%,  5 ,  451 
PRA US Equity,USD,PROASSURANCE CORP,0.2,#N/A N/A,  2 ,  0 ,27.5,  (3.51),  15.96 ,Financials,Insurance,Insurance,7.0,19%,  5 ,  920 
TECD US Equity,USD,TECH DATA CORP,0.5,1.3,  3 ,  1 ,32.7,  0.98 ,  (53.99),Information Technology,"Electronic Equipment, Instrume",Technology Hardware & Equipmen,8.0,325%,  5 ,  492 
B US Equity,USD,BARNES GROUP INC,0.1,1.5,  3 ,  0 ,29.1,  2.37 ,  1.56 ,Industrials,Machinery,Capital Goods,6.0,63%,  5 ,  631 
MCY US Equity,USD,MERCURY GENERAL CORP,0.4,#N/A N/A,  3 ,  0 ,48.4,  0.38 ,  2.02 ,Financials,Insurance,Insurance,3.0,66%,  5 ,  890 
LTM US Equity,USD,LATAM AIRLINES GROUP-SP ADR,0.8,4.2,  6 ,  6 ,53.7,  0.20 ,  0.47 ,Industrials,Airlines,Transportation,15.0,55%,  6 ,  696 
GVA US Equity,USD,GRANITE CONSTRUCTION INC,0.0,1.2,  2 ,  (0),63.4,  0.26 ,  0.41 ,Industrials,Construction & Engineering,Capital Goods,8.0,144%,  6 ,  644 
ATVI US Equity,USD,ACTIVISION BLIZZARD INC,1.8,-0.3,  41 ,  (0),65.5,  2.28 ,  1.39 ,Communication Services,Entertainment,Media & Entertainment,30.0,42%,  6 ,  62 
ALRM US Equity,USD,ALARM.COM HOLDINGS INC,0.0,-1.5,  2 ,  (0),56.8,  4.39 ,  2.00 ,Information Technology,Software,Software & Services,12.0,99%,  6 ,  528 
WLTW US Equity,USD,WILLIS TOWERS WATSON PLC,0.8,3.0,  21 ,  4 ,26.9,  1.23 ,  1.37 ,Financials,Insurance,Insurance,21.0,25%,  6 ,"  1,017 "
MYGN US Equity,USD,MYRIAD GENETICS INC,0.1,0.7,  2 ,  (0),66.9,  1.17 ,  0.63 ,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology",13.0,56%,  6 ,  812 
MRO US Equity,USD,MARATHON OIL CORP,0.3,1.1,  14 ,  5 ,47.7,  0.24 ,  0.67 ,Energy,"Oil, Gas & Consumable Fuels",Energy,29.0,27%,  6 ,"  1,091 "
JEC US Equity,USD,JACOBS ENGINEERING GROUP INC,0.4,2.2,  11 ,  (1),39.7,  0.67 ,  2.09 ,Industrials,Construction & Engineering,Capital Goods,17.0,136%,  6 ,  707 
KFY US Equity,USD,KORN/FERRY INTERNATIONAL,0.2,-1.7,  3 ,  (0),32.9,  1.35 ,  0.58 ,Industrials,Professional Services,Commercial & Professional Serv,6.0,92%,  6 ,  632 
SRCL US Equity,USD,STERICYCLE INC,0.1,6.5,  4 ,  3 ,33.4,  (4.91),  0.84 ,Industrials,Commercial Services & Supplies,Commercial & Professional Serv,13.0,51%,  6 ,  680 
PTC US Equity,USD,PTC INC,0.2,2.0,  11 ,  0 ,52.9,  0.69 ,  0.45 ,Information Technology,Software,Software & Services,16.0,53%,  6 ,  548 
EPC US Equity,USD,EDGEWELL PERSONAL CARE CO,0.2,3.1,  2 ,  1 ,43.6,  2.58 ,  3.95 ,Consumer Staples,Personal Products,Household & Personal Products,14.0,55%,  6 ,  232 
CPT US Equity,USD,CAMDEN PROPERTY TRUST,0.1,4.2,  8 ,  2 ,25.6,  3.46 ,  9.60 ,Real Estate,Equity Real Estate Investment,Real Estate,22.0,15%,  6 ,  384 
ESS US Equity,USD,ESSEX PROPERTY TRUST INC,0.5,5.9,  17 ,  6 ,24.5,  (22.50),  3.22 ,Real Estate,Equity Real Estate Investment,Real Estate,26.0,11%,  6 ,  392 
UNM US Equity,USD,UNUM GROUP,2.0,#N/A N/A,  8 ,  3 ,37.3,  1.43 ,  0.94 ,Financials,Insurance,Insurance,14.0,18%,  6 ,  984 
BEAT US Equity,USD,BIOTELEMETRY INC,0.0,2.0,  2 ,  0 ,69.7,  16.44 ,  3.56 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,6.0,71%,  6 ,  774 
RAMP US Equity,USD,LIVERAMP HOLDINGS INC,0.0,3.1,  4 ,  0 ,46.0,#VALUE!,  (0.20),Information Technology,IT Services,Software & Services,5.0,64%,  6 ,  476 
ONB US Equity,USD,OLD NATIONAL BANCORP,0.2,#N/A N/A,  3 ,  2 ,33.9,  1.45 ,  1.41 ,Financials,Banks,Banks,10.0,5%,  6 ,  952 
HSBC US Equity,USD,HSBC HOLDINGS PLC-SPONS ADR,#N/A N/A,#N/A N/A,  169 ,  (11),25.6,  1.89 ,  1.92 ,Financials,Banks,Banks,3.0,2%,  6 ,  889 
CONE US Equity,USD,CYRUSONE INC,-1.0,6.6,  6 ,  2 ,37.4,  (2.45),  (7.68),Real Estate,Equity Real Estate Investment,Real Estate,21.0,17%,  6 ,  381 
SNY US Equity,EUR,SANOFI-ADR,5.7,2.5,  112 ,  6 ,26.6,  2.66 ,  1.70 ,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology",5.0,33%,  6 ,  772 
GNW US Equity,USD,GENWORTH FINANCIAL INC-CL A,1.6,#N/A N/A,  2 ,  2 ,62.1,  (1.25),  (0.46),Financials,Insurance,Insurance,4.0,8%,  6 ,  896 
TRMB US Equity,USD,TRIMBLE INC,0.4,3.6,  9 ,  0 ,39.9,  1.58 ,  1.12 ,Information Technology,"Electronic Equipment, Instrume",Technology Hardware & Equipmen,13.0,61%,  6 ,  530 
FMBI US Equity,USD,FIRST MIDWEST BANCORP INC/IL,0.4,#N/A N/A,  2 ,  1 ,31.6,  0.56 ,  1.31 ,Financials,Banks,Banks,9.0,5%,  6 ,  939 
MDT US Equity,USD,MEDTRONIC PLC,4.6,1.6,  125 ,  15 ,21.0,  2.03 ,  1.91 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,29.0,32%,  6 ,  884 
NATI US Equity,USD,NATIONAL INSTRUMENTS CORP,0.2,-2.0,  7 ,  (0),57.2,  2.20 ,  1.91 ,Information Technology,"Electronic Equipment, Instrume",Technology Hardware & Equipmen,3.0,85%,  6 ,  464 
SLAB US Equity,USD,SILICON LABORATORIES INC,0.2,-1.7,  4 ,  (0),38.3,  4.85 ,  0.97 ,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,13.0,55%,  6 ,  535 
UBSI US Equity,USD,UNITED BANKSHARES INC,0.3,#N/A N/A,  4 ,  0 ,27.4,  4.07 ,  5.66 ,Financials,Banks,Banks,6.0,4%,  6 ,  911 
VEON US Equity,USD,VEON LTD,0.4,2.0,  5 ,  10 ,26.8,  1.92 ,  0.31 ,Communication Services,Wireless Telecommunication Ser,Telecommunication Services,15.0,50%,  6 ,  41 
FMX US Equity,MXN,FOMENTO ECONOMICO MEX-SP ADR,1.1,2.6,  29 ,  2 ,34.2,  1.13 ,  1.15 ,Consumer Staples,Beverages,"Food, Beverage & Tobacco",17.0,84%,  6 ,  237 
EQR US Equity,USD,EQUITY RESIDENTIAL,0.3,5.4,  25 ,  9 ,21.4,  (2.29),#VALUE!,Real Estate,Equity Real Estate Investment,Real Estate,24.0,12%,  6 ,  390 
A US Equity,USD,AGILENT TECHNOLOGIES INC,0.8,-0.3,  21 ,  (1),32.0,  2.26 ,  1.59 ,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",14.0,58%,  6 ,  818 
BBL US Equity,USD,BHP BILLITON PLC-ADR,12.6,0.5,  119 ,  11 ,31.4,  (1.53),  (3.42),Materials,Metals & Mining,Materials,5.0,38%,  7 ,  403 
BHP US Equity,USD,BHP BILLITON LTD-SPON ADR,12.6,0.5,  119 ,  11 ,30.4,  (1.75),  (3.91),Materials,Metals & Mining,Materials,5.0,38%,  7 ,  404 
BANR US Equity,USD,BANNER CORPORATION,0.1,#N/A N/A,  2 ,  (0),43.3,  2.11 ,  2.36 ,Financials,Banks,Banks,7.0,5%,  7 ,  917 
FBP US Equity,USD,FIRST BANCORP PUERTO RICO,0.2,#N/A N/A,  2 ,  1 ,28.8,  1.10 ,  1.19 ,Financials,Banks,Banks,5.0,6%,  7 ,  904 
CIG US Equity,BRL,CIA ENERGETICA DE-SPON ADR,-0.4,3.5,  4 ,  4 ,87.3,  0.14 ,  0.36 ,Utilities,Electric Utilities,Utilities,4.0,53%,  7 ,  271 
PBR/A US Equity,BRL,PETROLEO BRASIL-SP PREF  ADR,12.7,3.1,  92 ,  85 ,67.2,  0.22 ,  0.79 ,Energy,"Oil, Gas & Consumable Fuels",Energy,11.0,40%,  7 ,"  1,052 "
PBR US Equity,BRL,PETROLEO BRASILEIRO-SPON ADR,12.7,3.1,  92 ,  85 ,60.7,  0.24 ,  0.85 ,Energy,"Oil, Gas & Consumable Fuels",Energy,18.0,40%,  7 ,"  1,062 "
NAVI US Equity,USD,NAVIENT CORP,0.9,#N/A N/A,  3 ,  108 ,29.8,  1.78 ,  1.23 ,Financials,Consumer Finance,Diversified Financials,10.0,5%,  7 ,  953 
FNB US Equity,USD,FNB CORP,0.6,#N/A N/A,  4 ,  4 ,26.3,  1.80 ,  1.72 ,Financials,Banks,Banks,11.0,4%,  7 ,  959 
BEN US Equity,USD,FRANKLIN RESOURCES INC,2.1,-2.7,  16 ,  (6),31.9,  8.20 ,  12.04 ,Financials,Capital Markets,Diversified Financials,13.0,40%,  7 ,  972 
GILD US Equity,USD,GILEAD SCIENCES INC,7.9,-0.3,  90 ,  (3),35.9,  (9.53),  2.95 ,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology",30.0,35%,  7 ,  885 
RNR US Equity,USD,RENAISSANCERE HOLDINGS LTD,1.3,#N/A N/A,  5 ,  (0),29.2,  1.29 ,  1.04 ,Financials,Insurance,Insurance,12.0,13%,  7 ,  962 
LSI US Equity,USD,LIFE STORAGE INC,0.2,5.5,  4 ,  2 ,23.3,  2.66 ,  (1.93),Real Estate,Equity Real Estate Investment,Real Estate,11.0,14%,  7 ,  342 
BC US Equity,USD,BRUNSWICK CORP,0.2,2.3,  5 ,  (0),37.5,  0.88 ,  0.73 ,Consumer Discretionary,Leisure Products,Consumer Durables & Apparel,17.0,130%,  7 ,  135 
NYCB US Equity,USD,NEW YORK COMMUNITY BANCORP,0.2,#N/A N/A,  5 ,  10 ,28.7,  (23.87),  2.45 ,Financials,Thrifts & Mortgage Finance,Banks,17.0,3%,  7 ,"  1,006 "
GOLD US Equity,USD,RANDGOLD RESOURCES LTD-ADR,0.2,-1.4,  8 ,  (1),41.5,  0.99 ,  2.29 ,Materials,Metals & Mining,Materials,3.0,27%,  7 ,  395 
VMI US Equity,USD,VALMONT INDUSTRIES,0.0,1.4,  3 ,  0 ,43.6,  1.46 ,  0.80 ,Industrials,Construction & Engineering,Capital Goods,7.0,107%,  7 ,  635 
L US Equity,USD,LOEWS CORP,3.1,#N/A N/A,  15 ,  11 ,30.3,  0.72 ,  68.66 ,Financials,Insurance,Insurance,3.0,18%,  7 ,  891 
RL US Equity,USD,RALPH LAUREN CORP,0.6,-1.1,  10 ,  (1),50.5,  1.91 ,  1.58 ,Consumer Discretionary,"Textiles, Apparel & Luxury Goo",Consumer Durables & Apparel,22.0,103%,  7 ,  160 
DUK US Equity,USD,DUKE ENERGY CORP,-1.7,5.9,  61 ,  54 ,19.0,  3.81 ,  3.04 ,Utilities,Electric Utilities,Utilities,21.0,17%,  7 ,  320 
SM US Equity,USD,SM ENERGY CO,-0.6,2.6,  2 ,  3 ,55.0,  0.01 ,  0.05 ,Energy,"Oil, Gas & Consumable Fuels",Energy,19.0,26%,  7 ,"  1,066 "
AVA US Equity,USD,AVISTA CORP,#N/A N/A,4.3,  3 ,  2 ,8.0,  3.95 ,  6.01 ,Utilities,Multi-Utilities,Utilities,3.0,26%,  7 ,  269 
CRM US Equity,USD,SALESFORCE.COM INC,2.6,0.2,  100 ,  (3),55.0,  5.65 ,  1.41 ,Information Technology,Software,Software & Services,43.0,55%,  7 ,  600 
AKAM US Equity,USD,AKAMAI TECHNOLOGIES INC,0.5,-0.7,  11 ,  (1),56.5,  1.13 ,  1.10 ,Information Technology,IT Services,Software & Services,24.0,54%,  7 ,  569 
WMT US Equity,USD,WALMART INC,18.4,1.7,  292 ,  36 ,21.5,  (10.69),  3.60 ,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,35.0,235%,  7 ,  266 
PRAH US Equity,USD,PRA HEALTH SCIENCES INC,0.2,3.5,  7 ,  1 ,45.3,  1.31 ,  1.13 ,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",14.0,85%,  7 ,  819 
UDR US Equity,USD,UDR INC,#N/A N/A,5.9,  11 ,  4 ,23.8,  (3.84),  3.08 ,Real Estate,Equity Real Estate Investment,Real Estate,21.0,13%,  7 ,  379 
FLIR US Equity,USD,FLIR SYSTEMS INC,0.3,-0.5,  7 ,  (0),49.2,  2.65 ,  1.70 ,Information Technology,"Electronic Equipment, Instrume",Technology Hardware & Equipmen,9.0,65%,  7 ,  498 
VTR US Equity,USD,VENTAS INC,0.8,5.5,  22 ,  11 ,24.2,  3.16 ,  35.13 ,Real Estate,Equity Real Estate Investment,Real Estate,22.0,16%,  7 ,  383 
TS US Equity,USD,TENARIS SA-ADR,0.0,-0.2,  17 ,  (1),38.1,  0.48 ,  0.37 ,Energy,Energy Equipment & Services,Energy,21.0,49%,  7 ,"  1,069 "
IART US Equity,USD,INTEGRA LIFESCIENCES HOLDING,0.1,6.3,  5 ,  2 ,51.8,  1.80 ,  1.43 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,15.0,52%,  7 ,  822 
ARE US Equity,USD,ALEXANDRIA REAL ESTATE EQUIT,-1.4,6.7,  13 ,  5 ,23.9,  (2.20),  (5.08),Real Estate,Equity Real Estate Investment,Real Estate,12.0,10%,  7 ,  348 
LHCG US Equity,USD,LHC GROUP INC,0.0,1.9,  3 ,  0 ,41.4,  1.23 ,  1.76 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,11.0,119%,  7 ,  801 
ICUI US Equity,USD,ICU MEDICAL INC,0.1,-2.4,  5 ,  (0),54.0,  2.57 ,  2.27 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,4.0,93%,  7 ,  764 
GS US Equity,USD,GOLDMAN SACHS GROUP INC,-11.2,2.3,  79 ,  46 ,38.6,  4.60 ,  1.12 ,Financials,Capital Markets,Diversified Financials,27.0,5%,  7 ,"  1,030 "
PLD US Equity,USD,PROLOGIS INC,-0.5,6.6,  42 ,  9 ,23.1,  (1.94),  (9.53),Real Estate,Equity Real Estate Investment,Real Estate,20.0,8%,  7 ,  374 
INFO US Equity,USD,IHS MARKIT LTD,0.9,5.1,  21 ,  4 ,26.2,  1.65 ,  1.41 ,Industrials,Professional Services,Commercial & Professional Serv,18.0,26%,  7 ,  719 
VLY US Equity,USD,VALLEY NATIONAL BANCORP,#N/A N/A,#N/A N/A,  3 ,  3 ,29.4,  0.52 ,  0.77 ,Financials,Banks,Banks,11.0,4%,  7 ,  958 
TV US Equity,MXN,GRUPO TELEVISA SA-SPON ADR,0.4,2.2,  8 ,  4 ,47.3,  (14.20),  2.49 ,Communication Services,Media,Media & Entertainment,16.0,35%,  7 ,  43 
LM US Equity,USD,LEGG MASON INC,0.5,4.0,  2 ,  2 ,30.9,  3.32 ,  0.88 ,Financials,Capital Markets,Diversified Financials,12.0,38%,  7 ,  968 
SMTC US Equity,USD,SEMTECH CORP,0.1,-0.8,  3 ,  (0),50.9,  1.04 ,  0.72 ,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,11.0,54%,  7 ,  521 
ULTI US Equity,USD,ULTIMATE SOFTWARE GROUP INC,0.2,-1.1,  8 ,  (0),36.5,  2.63 ,  1.69 ,Information Technology,Software,Software & Services,20.0,70%,  7 ,  554 
ALE US Equity,USD,ALLETE INC,0.1,3.9,  4 ,  1 ,20.0,  2.89 ,  2.37 ,Utilities,Electric Utilities,Utilities,6.0,27%,  7 ,  278 
FLR US Equity,USD,FLUOR CORP,-0.2,-0.3,  6 ,  (0),68.1,  0.21 ,  0.42 ,Industrials,Construction & Engineering,Capital Goods,15.0,211%,  7 ,  699 
AVNS US Equity,USD,AVANOS MEDICAL INC,-0.1,-4.0,  2 ,  0 ,61.2,  1.27 ,  0.66 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,8.0,32%,  7 ,  787 
COF US Equity,USD,CAPITAL ONE FINANCIAL CORP,12.2,3.0,  42 ,  46 ,25.7,  (6.94),  0.96 ,Financials,Consumer Finance,Diversified Financials,25.0,9%,  8 ,"  1,029 "
AXE US Equity,USD,ANIXTER INTERNATIONAL INC,0.1,3.2,  2 ,  1 ,35.4,  0.65 ,  0.79 ,Information Technology,"Electronic Equipment, Instrume",Technology Hardware & Equipmen,4.0,187%,  8 ,  469 
DAR US Equity,USD,DARLING INGREDIENTS INC,0.1,3.8,  3 ,  2 ,32.4,  0.09 ,  5.30 ,Consumer Staples,Food Products,"Food, Beverage & Tobacco",8.0,72%,  8 ,  222 
PBCT US Equity,USD,PEOPLE'S UNITED FINANCIAL,0.6,#N/A N/A,  6 ,  4 ,25.7,  0.99 ,  1.32 ,Financials,Banks,Banks,12.0,4%,  8 ,  971 
HMSY US Equity,USD,HMS HOLDINGS CORP,0.1,1.0,  3 ,  0 ,54.2,  3.87 ,  1.57 ,Health Care,Health Care Technology,Health Care Equipment & Servic,13.0,60%,  8 ,  816 
PXD US Equity,USD,PIONEER NATURAL RESOURCES CO,-0.3,0.3,  26 ,  1 ,48.5,  0.19 ,  0.53 ,Energy,"Oil, Gas & Consumable Fuels",Energy,40.0,50%,  8 ,"  1,105 "
PNFP US Equity,USD,PINNACLE FINANCIAL PARTNERS,0.3,#N/A N/A,  4 ,  1 ,31.9,  1.31 ,  1.16 ,Financials,Banks,Banks,10.0,5%,  8 ,  947 
NAVG US Equity,USD,NAVIGATORS GROUP INC,0.3,#N/A N/A,  2 ,  0 ,3.7,  2.97 ,  7.17 ,Financials,Insurance,Insurance,5.0,27%,  8 ,  903 
MD US Equity,USD,MEDNAX INC,0.4,3.4,  4 ,  2 ,30.7,  1.01 ,  0.87 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,14.0,63%,  8 ,  817 
AGCO US Equity,USD,AGCO CORP,0.4,1.8,  4 ,  1 ,36.2,  0.55 ,  0.73 ,Industrials,Machinery,Capital Goods,20.0,115%,  8 ,  727 
ABCB US Equity,USD,AMERIS BANCORP,-0.1,#N/A N/A,  2 ,  0 ,34.1,  0.31 ,  0.77 ,Financials,Banks,Banks,6.0,5%,  8 ,  910 
PB US Equity,USD,PROSPERITY BANCSHARES INC,0.3,#N/A N/A,  5 ,  0 ,29.1,  2.20 ,  2.26 ,Financials,Banks,Banks,16.0,4%,  8 ,  994 
MOG/A US Equity,USD,MOOG INC-CLASS A,0.0,2.4,  3 ,  1 ,47.6,  1.20 ,  9.31 ,Industrials,Aerospace & Defense,Capital Goods,4.0,90%,  8 ,  613 
HIW US Equity,USD,HIGHWOODS PROPERTIES INC,0.0,4.8,  5 ,  2 ,20.7,  (12.54),  4.42 ,Real Estate,Equity Real Estate Investment,Real Estate,13.0,15%,  8 ,  350 
UMPQ US Equity,USD,UMPQUA HOLDINGS CORP,0.6,#N/A N/A,  4 ,  1 ,29.9,  0.93 ,  0.98 ,Financials,Banks,Banks,12.0,5%,  8 ,  966 
